casualty_group,killed,injured,total_casualties,proportion_killed
867,0,0,0,NA
868,0,0,0,NA
869,0,0,0,NA
870,1,11,12,0.08333333333333333
871,0,0,0,NA
872,0,0,0,NA
873,0,0,0,NA
874,0,0,0,NA
875,0,0,0,NA
876,0,0,0,NA
877,0,0,0,NA
878,0,2,2,0
879,0,0,0,NA
880,0,0,0,NA
881,NA,NA,1,NA
882,0,0,0,NA
883,0,0,0,NA
884,0,0,0,NA
885,0,0,0,NA
886,0,0,0,NA
887,0,0,0,NA
888,0,3,3,0
889,1,2,3,0.3333333333333333
890,0,0,0,NA
891,0,0,0,NA
892,0,0,0,NA
893,0,0,0,NA
894,0,3,3,0
895,0,0,0,NA
896,0,0,0,NA
897,0,0,0,NA
898,0,3,3,0
899,0,0,0,NA
900,0,0,0,NA
901,0,0,0,NA
902,0,0,0,NA
903,0,0,0,NA
904,0,0,0,NA
905,0,0,0,NA
906,0,0,0,NA
907,0,0,0,NA
908,0,0,0,NA
909,0,0,0,NA
910,0,0,0,NA
911,0,0,0,NA
912,0,1,1,0
913,1,0,1,1
914,0,0,0,NA
915,0,0,0,NA
916,0,0,0,NA
917,1,5,6,0.16666666666666666
918,1,7,8,0.125
919,1,0,1,1
920,0,0,0,NA
921,0,0,0,NA
922,0,0,0,NA
923,1,72,73,0.0136986301369863
924,0,0,0,NA
925,0,0,0,NA
926,0,0,0,NA
927,0,0,0,NA
928,0,0,0,NA
929,0,0,0,NA
930,0,0,0,NA
931,0,0,0,NA
932,0,1,1,0
933,2,16,18,0.1111111111111111
934,0,0,0,NA
935,0,0,0,NA
936,0,0,0,NA
937,0,0,0,NA
938,0,0,0,NA
939,0,0,0,NA
940,0,0,0,NA
941,0,0,0,NA
942,0,0,0,NA
943,0,1,1,0
944,0,0,0,NA
945,0,0,0,NA
946,0,0,0,NA
947,0,0,0,NA
948,0,0,0,NA
949,0,0,0,NA
950,0,0,0,NA
951,0,0,0,NA
952,0,0,0,NA
953,0,1,1,0
954,0,0,0,NA
955,0,0,0,NA
956,0,0,0,NA
957,0,0,0,NA
958,0,0,0,NA
959,0,0,0,NA
960,0,0,0,NA
961,0,0,0,NA
962,0,0,0,NA
963,0,2,2,0
964,4,28,32,0.125
965,0,2,2,0
966,0,0,0,NA
967,0,0,0,NA
968,0,0,0,NA
969,0,0,0,NA
970,0,1,1,0
971,0,10,10,0
972,0,0,0,NA
973,0,0,0,NA
974,0,0,0,NA
975,0,0,0,NA
976,0,0,0,NA
977,0,0,0,NA
978,0,0,0,NA
979,0,0,0,NA
980,0,0,0,NA
981,0,0,0,NA
982,0,0,0,NA
983,0,0,0,NA
984,0,0,0,NA
985,0,0,0,NA
986,0,0,0,NA
987,0,0,0,NA
988,16,8,24,0.6666666666666666
989,1,0,1,1
990,1,22,23,0.043478260869565216
991,0,2,2,0
992,0,0,0,NA
993,0,0,0,NA
994,0,0,0,NA
995,0,0,0,NA
996,0,0,0,NA
997,0,0,0,NA
998,0,0,0,NA
999,0,0,0,NA
1000,0,0,0,NA
1001,0,0,0,NA
1002,0,4,4,0
1003,0,0,0,NA
1004,0,0,0,NA
1005,0,0,0,NA
1006,0,0,0,NA
1007,1,2,3,0.3333333333333333
