casualty_group,total_incidents,civil_defense_region,country,year,month,killed,injured,total_casualties,time_binary,lethality_category
2996,1,4: Eastern,England,1940,9,0,0,0,1,NA
2997,1,7: South Western,England,1940,9,0,0,0,1,NA
2998,1,7: South Western,England,1940,9,0,0,0,1,NA
2999,1,7: South Western,England,1940,9,0,0,0,1,NA
3000,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3001,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3002,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3003,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3004,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3005,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3006,1,8: Wales,Wales,1940,9,1,5,6,1,low
3007,1,8: Wales,Wales,1940,9,0,0,0,1,NA
3008,1,11: Scotland,Scotland,1940,9,0,0,0,1,NA
3009,1,12: South Eastern,England,1940,9,0,0,0,1,NA
3010,1,12: South Eastern,England,1940,9,0,0,0,1,NA
3011,1,12: South Eastern,England,1940,9,0,0,0,1,NA
3012,1,12: South Eastern,England,1940,9,0,0,0,1,NA
3013,1,1: Northern,England,1940,9,0,0,0,1,NA
3014,1,1: Northern,England,1940,9,0,0,0,1,NA
3015,1,1: Northern,England,1940,9,0,0,0,1,NA
3016,1,2: North Eastern,England,1940,9,0,0,0,1,NA
3017,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3018,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3019,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3020,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3021,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3022,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3023,1,3: North Midlands,England,1940,9,0,0,0,1,NA
3024,1,3: North Midlands,England,1940,9,0,0,0,1,NA
